level_0,index,society,price,sector,price_per_sqft,area,property_type,areaWithType,super_built_up_area,built_up_area,carpet_area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,servant room,pooja room,study room,others,store room,furnishing_type,luxary_score
219,224,emaar mgf emerald floors premier,2.75,sector 65,13924.0,1975.0,flat,Super Built up area 1975(183.48 sq.m.)Built Up area: 1750 sq.ft. (162.58 sq.m.)Carpet area: 1650 sq.ft. (153.29 sq.m.),1974.9603719999998,1750.0,1650.0,4.0,4.0,3 ,3.0,North-West,relatively new,1,0,1,0,0,0,113
220,225,siddhartha apartment,1.1,sector 95,4327.0,2542.0,flat,Carpet area: 2542 (236.16 sq.m.),,,2542.0,4.0,3.0,3 ,9.0,North,relatively new,1,0,0,1,0,1,22
221,226,signature global park,0.75,sohna road,6938.0,1081.0,flat,Built Up area: 1081 (100.43 sq.m.),,1081.0,,2.0,2.0,0 ,1.0,,undefined,0,0,0,0,0,1,58
222,227,sobha city,3.95,sector 108,16858.0,2343.0,flat,Super Built up area 2343(217.67 sq.m.)Carpet area: 1512.05 sq.ft. (140.47 sq.m.),2342.9781129999997,,1512.05,3.0,5.0,2 ,15.0,North,new Property,1,0,0,0,0,1,118
223,228,raheja vedaanta,0.8,sector 108,4080.0,1961.0,flat,Super Built up area 1838(170.76 sq.m.),1838.0435639999998,,,3.0,3.0,3 ,9.0,North-East,relatively new,0,1,0,0,0,1,174
224,229,ambience creacions,3.5,sector 22,19444.0,1800.0,flat,Carpet area: 1800 (167.23 sq.m.),,,1800.0,3.0,4.0,3+ ,8.0,East,new Property,1,0,0,0,0,0,57
225,230,dlf regal gardens,1.21,sector 90,6926.0,1747.0,flat,Super Built up area 1747(162.3 sq.m.),1746.98097,,,3.0,3.0,3+ ,29.0,West,relatively new,0,0,0,1,0,1,95
226,231,,3.55,sector 55,24500.0,1448.9795918367347,house,Plot area 161(134.62 sq.m.),,1449.0,,4.0,4.0,3+ ,2.0,,old property,0,0,0,0,0,0,27
227,232,microtek greenburg,1.93,sector 86,8446.0,2285.0,flat,Super Built up area 2285(212.28 sq.m.),2284.960692,,,3.0,4.0,3 ,12.0,East,relatively new,1,0,0,0,0,1,72
228,233,signature global park,0.7,sohna road,6071.0,1153.0,flat,Carpet area: 1153 (107.12 sq.m.),,,1153.0,3.0,3.0,3 ,2.0,North,relatively new,0,1,0,0,0,1,152
229,234,supertech araville,0.9,sector 79,5883.0,1530.0,flat,Super Built up area 1530(142.14 sq.m.)Built Up area: 1450 sq.ft. (134.71 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),1529.9807459999997,1450.0,1400.0,2.0,2.0,3 ,5.0,,relatively new,0,0,1,0,0,1,53
230,235,not applicable,0.51,sector 4,14167.0,359.991529611068,house,Plot area 40(33.45 sq.m.),,360.0,,4.0,4.0,3 ,4.0,,new Property,0,0,0,0,0,1,0
231,236,,5.25,sector 24,38889.0,1349.9961428681631,house,Plot area 163(136.29 sq.m.)Built Up area: 160 sq.yards (133.78 sq.m.)Carpet area: 150 sq.yards (125.42 sq.m.),,1440.0,1350.0,4.0,4.0,3+ ,2.0,East,relatively new,1,1,0,0,0,0,72
232,237,,1.5,sector 12,11111.0,1350.013500135001,house,Plot area 150(125.42 sq.m.),,1350.0,,5.0,5.0,2 ,3.0,,old property,0,0,0,0,0,1,16
233,238,godrej summit,1.35,sector 104,5000.0,2700.0,flat,Carpet area: 2700 (250.84 sq.m.),,,2700.0,4.0,5.0,3+ ,0.0,North-East,relatively new,1,1,1,0,1,1,112
234,239,bptp pedestal,0.92,sector 70a,7750.0,1187.0967741935483,house,Carpet area: 1187 (110.28 sq.m.),,,1187.0,2.0,3.0,3+ ,3.0,North-East,new Property,0,0,0,1,0,1,153
235,240,tulip violet,1.36,sector 69,8841.0,1538.0,flat,Super Built up area 1538(142.88 sq.m.),1537.9460319999998,,,3.0,3.0,1 ,12.0,North-West,relatively new,0,1,0,0,0,1,86
236,241,dlf regency park,1.35,sector 28,11739.0,1150.0,flat,Super Built up area 1150(106.84 sq.m.)Built Up area: 1120 sq.ft. (104.05 sq.m.)Carpet area: 1050 sq.ft. (97.55 sq.m.),1150.015076,1120.0,1050.0,2.0,2.0,2 ,14.0,East,old property,0,0,0,0,1,1,66
237,242,not applicable,0.75,sector 4,11718.0,640.0409626216078,house,Plot area 640(59.46 sq.m.),,640.0,,5.0,4.0,3 ,2.0,,moderately old,0,0,0,0,0,1,0
238,243,supertech araville,0.9,sector 79,6950.0,1295.0,flat,Built Up area: 1295 (120.31 sq.m.),,1295.0,,2.0,2.0,0 ,12.0,,undefined,0,0,0,0,0,1,0
239,244,,12.0,sector 28,42194.0,2844.006256813765,house,Plot area 316(264.22 sq.m.),,2844.0,,4.0,5.0,3+ ,4.0,East,relatively new,1,1,0,0,1,0,60
240,245,signature global park,0.56,sohna road,6812.0,822.0,flat,Carpet area: 822 (76.37 sq.m.),,,822.0,2.0,2.0,3 ,3.0,South,new Property,0,0,0,0,0,1,111
241,246,dlf carlton estate,2.1,sector 43,15418.0,1362.0,flat,Super Built up area 1362(126.53 sq.m.),1361.956267,,,3.0,3.0,1 ,2.0,East,old property,0,0,0,0,1,0,88
242,247,signature global synera,0.5,sector 81,6802.0,735.0,flat,Super Built up area 735(68.28 sq.m.)Built Up area: 700 sq.ft. (65.03 sq.m.)Carpet area: 635 sq.ft. (58.99 sq.m.),734.9590919999999,700.0,635.0,2.0,2.0,3 ,6.0,South,relatively new,0,0,0,0,0,1,117
243,248,dlf regency park,1.91,sector 28,16608.0,1150.0,flat,Carpet area: 1150 (106.84 sq.m.),,,1150.0,2.0,2.0,2 ,11.0,,new Property,0,0,0,0,0,2,98
244,249,experion windchants,3.65,sector 112,11428.0,3194.0,flat,Built Up area: 2800 (260.13 sq.m.),,2800.0,,3.0,5.0,2 ,3.0,South-West,relatively new,1,0,0,0,0,1,72
245,250,landmark the residency,0.9,sector 103,6666.0,1350.0,flat,Super Built up area 1350(125.42 sq.m.),1350.0083379999999,,,2.0,2.0,2 ,1.0,South-West,relatively new,0,0,0,0,0,1,44
246,251,,0.38,sector 105,76000.0,50.0,house,Carpet area: 50 (4.65 sq.m.),,,50.0,2.0,2.0,2 ,1.0,,undefined,0,0,0,0,0,1,0
247,252,tarc maceo,1.75,sector 91,11121.0,1574.0,flat,Super Built up area 2724(253.07 sq.m.)Carpet area: 1573.59 sq.ft. (146.19 sq.m.),2724.020173,,1573.59,4.0,3.0,3+ ,8.0,South,relatively new,1,1,1,0,1,1,128
248,253,antriksh heights,0.73,sector 84,6083.0,1200.0,flat,Super Built up area 1200(111.48 sq.m.)Carpet area: 870 sq.ft. (80.83 sq.m.),1199.959572,,870.0,2.0,2.0,3+ ,4.0,North-West,relatively new,0,1,1,0,1,1,158
249,254,shree kirpalu gi sector 52,1.45,sector 52,7631.0,1900.0,flat,Super Built up area 1900(176.52 sq.m.)Built Up area: 1800 sq.ft. (167.23 sq.m.)Carpet area: 1700 sq.ft. (157.94 sq.m.),1900.0436280000001,1800.0,1700.0,3.0,3.0,3+ ,7.0,West,relatively new,0,0,0,1,0,0,108
250,255,bptp terra,1.55,sector 37d,8558.0,1811.0,flat,Super Built up area 1811(168.25 sq.m.),1811.026175,,,3.0,3.0,3+ ,11.0,South,relatively new,0,0,0,0,0,1,79
251,256,shapoorji pallonji joyville gurugram,0.95,sector 102,10383.0,915.0,flat,Built Up area: 915 (85.01 sq.m.)Carpet area: 858 sq.ft. (79.71 sq.m.),,915.0,858.0,2.0,2.0,2 ,14.0,North-West,undefined,0,0,0,0,0,1,0
