sector,property_type,built_up_area,bedRoom,bathroom,balcony,agePossession,servant room,store room,furnishing_type,luxury_category,floor_category,price
24.0,1.0,1440.434,2.0,6.0,4.0,3.0,0.0,0.0,1.0,2.0,2.0,2.98
75.0,0.0,1776.849976776591,4.0,4.0,3.0,3.0,1.0,0.0,0.0,2.0,2.0,3.5
75.0,0.0,4303.0,3.0,3.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,7.0
41.0,0.0,1548.0,2.0,2.0,4.0,4.0,0.0,0.0,1.0,2.0,1.0,1.5
10.0,0.0,2100.0,4.0,4.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,1.35
95.0,0.0,1291.092429168602,2.0,2.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0
94.0,0.0,1892.091500232234,3.0,4.0,4.0,3.0,1.0,0.0,2.0,0.0,0.0,2.4
55.0,0.0,1114.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,1.05
10.0,0.0,1305.0,3.0,4.0,3.0,3.0,1.0,0.0,1.0,1.0,2.0,1.14
98.0,0.0,3175.2038258042367,4.0,4.0,3.0,3.0,1.0,0.0,1.0,1.0,0.0,2.24
77.0,0.0,2121.5092893636784,3.0,4.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,3.4
67.0,0.0,1537.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,2.2
77.0,0.0,2114.2461681374825,4.0,4.0,4.0,0.0,1.0,0.0,0.0,2.0,2.0,2.7
99.0,0.0,2166.4437993497445,3.0,4.0,4.0,1.0,0.0,1.0,1.0,2.0,2.0,1.78
98.0,0.0,533.7988212117814,2.0,2.0,1.0,3.0,0.0,0.0,1.0,2.0,2.0,0.37
32.0,1.0,1799.9836365123954,6.0,7.0,4.0,0.0,1.0,0.0,0.0,2.0,1.0,6.6
56.0,0.0,1963.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.8
